codigo	descriptor completo	descriptor corto		
8000/0	Neoplasia benigna	Neoplasia benigna		
8000/1	Neoplasia de benignidad o malignidad incierta	"Neoplasia, benignidad o malignidad incierta"		
8000/3	Neoplasia maligna	Neoplasia maligna		
8000/6	Neoplasia metastásica	Neoplasia metastásica		
8000/9	"Neoplasia maligna, localización primaria o metastásica incierta"	"Neoplasia maligna, localización primaria o metastásica incierta"		
8001/0	Células tumorales benignas	Cél. tumorales benignas		
8001/1	Células tumorales de benignidad o malignidad incierta 	"Cél. tumorales, benignidad o malignidad incierta "		
8001/3	Células tumorales malignas	Cél. tumorales malignas		
8001/6	"Células tumorales malignas, metástasis"	"Cél. tumorales malignas, metástasis"		
8002/3	Tumor maligno de células pequeñas	"Tum. maligno, cél. pequeñas"		
8002/6	"Tumor maligno de células pequeñas, metástasis"	"Tum. maligno, cél. pequeñas, metástasis"		
8003/3	Tumor maligno de células gigantes	"Tum. maligno, cél. gigantes"		
8003/6	"Tumor maligno de células gigantes, metástasis"	"Tum. maligno, cél. gigantes, metástasis"		
8004/3	Tumor maligno de células fusiformes	"Tum. maligno, cél. fusiformes"		
8004/6	"Tumor maligno de células fusiformes, metástasis"	"Tum. maligno, cél. fusiformes, metástasis"		
8005/0	"Tumor de células claras, SAI"	"Tumor, cél. claras, SAI"		
8005/3	"Tumor maligno, tipo células claras"	"Tum. maligno, tipo cél. claras"		
8005/6	"Tumor maligno, tipo células claras, metástasis"	"Tum. maligno, tipo cél. claras, metástasis"		
8010/0	Tumor epitelial benigno	Tum. epitelial benigno		
8010/2	"Carcinoma in situ, SAI"	"Ca. in situ, SAI"		
8010/3	"Carcinoma, SAI"	"Carcinoma, SAI"		
8010/6	"Carcinoma metastásico, SAI"	"Ca. metastásico, SAI"		
8010/9	Carcinomatosis	Carcinomatosis		
8011/0	Epitelioma benigno	Epitelioma benigno		
8011/3	Epitelioma maligno	Epitelioma maligno		
8011/6	"Epitelioma maligno, metástasis"	"Epitelioma maligno, metástasis"		
8012/3	"Carcinoma de células grandes, SAI"	"Carcinoma, cél. grandes, SAI"		
8012/6	"Carcinoma de células grandes, SAI, metástasis"	"Carcinoma, cél. grandes, SAI, metástasis"		
8013/3	Carcinoma neuroendocrino de células grandes	"Ca. neuroendocrino, cél. grandes"		
8013/6	"Carcinoma neuroendocrino de células grandes, metástasis"	"Ca. neuroendocrino, cél. grandes, metástasis"		
8014/3	Carcinoma de células grandes con fenotipo rabdoide	"Carcinoma, cél. grandes con fenotipo rabdoide"		
8014/6	"Carcinoma de células grandes con fenotipo rabdoide, metástasis"	"Carcinoma, cél. grandes con fenotipo rabdoide, metástasis"		
8015/3	Carcinoma de células vidriosas	"Carcinoma, cél. vidriosas"		
8015/6	"Carcinoma de células vidriosas, metástasis"	"Carcinoma, cél. vidriosas, metástasis"		
8020/3	"Carcinoma indiferenciado, SAI"	"Ca. indiferenciado, SAI"		
8020/6	"Carcinoma indiferenciado, SAI, metástasis"	"Ca. indiferenciado, SAI, metástasis"		
8021/3	"Carcinoma de tipo anaplásico, SAI"	"Carcinoma, tipo anaplásico, SAI"		
8021/6	"Carcinoma de tipo anaplásico, SAI, metástasis"	"Carcinoma, tipo anaplásico, SAI, metástasis"		
8022/3	Carcinoma pleomorfo	Ca. pleomorfo		
8022/6	"Carcinoma pleomorfo, metástasis"	"Ca. pleomorfo, metástasis"		
8030/3	Carcinoma de células gigantes y fusiformes	"Carcinoma, cél. gigantes y fusiformes"		
8030/6	"Carcinoma de células gigantes y fusiformes, metástasis"	"Carcinoma, cél. gigantes y fusiformes, metástasis"		
8031/3	Carcinoma de células gigantes	"Carcinoma, cél. gigantes"		
8031/6	"Carcinoma de células gigantes, metástasis"	"Carcinoma, cél. gigantes, metástasis"		
8032/3	"Carcinoma de células fusiformes, SAI"	"Carcinoma, cél. fusiformes, SAI"		
8032/6	"Carcinoma de células fusiformes, SAI, metástasis"	"Carcinoma, cél. fusiformes, SAI, metástasis"		
8033/3	Carcinoma seudosarcomatoso	Ca. seudosarcomatoso		
8033/6	"Carcinoma seudosarcomatoso, metástasis"	"Ca. seudosarcomatoso, metástasis"		
8034/3	Carcinoma de células poligonales	"Carcinoma, cél. poligonales"		
8034/6	"Carcinoma de células poligonales, metástasis"	"Carcinoma, cél. poligonales, metástasis"		
8035/3	Carcinoma con células gigantes tipo osteoclasto	Ca. con cél. gigantes tipo osteoclasto		
8035/6	"Carcinoma con células gigantes tipo osteoclasto, metástasis"	"Ca. con cél. gigantes tipo osteoclasto, metástasis"		
8040/0	"Tumorlet, benigno"	"Tumorlet, benigno"		
8040/1	"Tumorlet, SAI"	"Tumorlet, SAI"		
8041/3	"Carcinoma de células pequeñas, SAI"	"Carcinoma, cél. pequeñas, SAI"		
8041/6	"Carcinoma de células pequeñas, SAI, metástasis"	"Carcinoma, cél. pequeñas, SAI, metástasis"		
8042/3	Carcinoma de células en grano de avena	"Carcinoma, cél. en grano, avena"		
8042/6	"Carcinoma de células en grano de avena, metástasis"	"Carcinoma, cél. en grano, avena, metástasis"		
8043/3	"Carcinoma de células pequeñas, tipo fusiforme"	"Carcinoma, cél. pequeñas, tipo fusiforme"		
8043/6	"Carcinoma de células pequeñas, tipo fusiforme, metástasis"	"Carcinoma, cél. pequeñas, tipo fusiforme, metástasis"		
8044/3	"Carcinoma de células pequeñas, tipo intermedio"	"Carcinoma, cél. pequeñas, tipo intermedio"		
8044/6	"Carcinoma de células pequeñas, tipo intermedio, metástasis"	"Carcinoma, cél. pequeñas, tipo intermedio, metástasis"		
